File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,4
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019307_aid0001,aid0001,2019-11-03 14:14:31+00:00,07531,009,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019341_aid0001,aid0001,2019-12-07 17:59:27+00:00,08061,007,0601,True,45655,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019356_aid0001,aid0001,2019-12-22 18:48:44+00:00,08294,009,0601,True,711282,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019356_aid0001,aid0001,2019-12-22 18:49:36+00:00,08294,010,0601,True,6903,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2019360_aid0001,aid0001,2019-12-26 17:11:30+00:00,08355,008,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020041_aid0001,aid0001,2020-02-10 23:06:32+00:00,09072,009,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020049_aid0001,aid0001,2020-02-18 19:58:42+00:00,09194,008,0601,True,99962,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020053_aid0001,aid0001,2020-02-22 18:25:54+00:00,09255,006,0601,True,609367,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020054_aid0001,aid0001,2020-02-23 17:37:39+00:00,09270,009,0601,True,603683,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020061_aid0001,aid0001,2020-03-01 15:17:37+00:00,09377,009,0601,True,237972,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020061_aid0001,aid0001,2020-03-01 15:18:29+00:00,09377,010,0601,True,514585,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020065_aid0001,aid0001,2020-03-05 13:43:48+00:00,09438,009,0601,True,235558,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020088_aid0001,aid0001,2020-03-28 21:53:59+00:00,09800,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020092_aid0001,aid0001,2020-04-01 20:21:29+00:00,09861,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020096_aid0001,aid0001,2020-04-05 18:49:21+00:00,09922,006,0601,True,709393,,15.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020100_aid0001,aid0001,2020-04-09 17:17:31+00:00,09983,006,0601,True,711000,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020100_aid0001,aid0001,2020-04-09 23:47:10+00:00,09987,009,0601,True,505672,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020100_aid0001,aid0001,2020-04-09 23:48:02+00:00,09987,010,0601,True,250331,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020104_aid0001,aid0001,2020-04-13 15:45:41+00:00,10044,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020104_aid0001,aid0001,2020-04-13 22:15:27+00:00,10048,007,0601,True,497748,25087.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020105_aid0001,aid0001,2020-04-14 21:28:18+00:00,10063,006,0601,True,701162,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020105_aid0001,aid0001,2020-04-14 21:29:10+00:00,10063,007,0601,True,23785,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020108_aid0001,aid0001,2020-04-17 20:43:41+00:00,10109,008,0601,True,652958,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020108_aid0001,aid0001,2020-04-17 20:44:33+00:00,10109,009,0601,True,83177,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020112_aid0001,aid0001,2020-04-21 12:40:41+00:00,10166,006,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020112_aid0001,aid0001,2020-04-21 19:10:27+00:00,10170,009,0601,True,698372,,25.0
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020113_aid0001,aid0001,2020-04-22 18:22:44+00:00,10185,010,0601,True,713424,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020116_aid0001,aid0001,2020-04-25 11:06:51+00:00,10227,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020117_aid0001,aid0001,2020-04-26 16:48:34+00:00,10246,009,0601,True,713424,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020121_aid0001,aid0001,2020-04-30 15:14:21+00:00,10307,009,0601,True,712712,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020132_aid0001,aid0001,2020-05-11 11:19:04+00:00,10475,009,0601,True,152664,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020144_aid0001,aid0001,2020-05-23 00:06:30+00:00,10654,006,0601,True,711711,,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020147_aid0001,aid0001,2020-05-26 22:32:16+00:00,10715,006,0601,True,665570,47090.0,
EVAPOTRANSPIRATION_ALEXI_QualityFlag_2020151_aid0001,aid0001,2020-05-30 20:57:41+00:00,10776,006,0601,True,707180,3133.0,
