DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2021-07-10,1.755041620684904,,2.945,4.015
2021-07-11,2.2438502436769863,4.175202270713874,3.618,4.933
2021-07-12,3.1331335074521807,5.674080940926364,2.923,3.987
2021-07-13,2.9677941737910127,,3.69,5.034
2021-07-14,3.8526973815085963,5.445771435503777,4.708,6.425
2021-07-15,2.9163607887459753,,4.097,5.592
2021-07-16,1.1031923484209107,1.4556642996373022,2.11,2.881
2021-07-17,2.2345235781891097,3.5902045798128577,4.249,5.801
2021-07-18,2.827437447774347,,4.301,5.874
2021-07-19,3.2797378736781546,6.658323364092288,4.601,6.286
2021-07-20,3.7829030073324676,6.588853296319485,4.556,6.225
2021-07-21,3.2747243371604764,6.00708884788436,4.686,6.404
2021-07-22,3.714088872523753,6.69035510512466,4.538,6.164
2021-07-23,3.819043517559113,7.448972023985112,5.131,6.908
2021-07-24,4.539553808761661,8.507579046557323,4.996,6.831
2021-07-25,4.193891029687457,5.640445953947396,4.529,6.043
2021-07-26,4.446006211085601,8.339382883725301,5.359,7.151
2021-07-27,3.940016425090473,7.187304482306202,4.905,6.545
2021-07-28,3.491646110150187,6.342667278395518,4.905,6.545
2021-07-29,1.069665867361875,2.720340719701704,3.815,5.09
2021-07-30,2.916325671393355,5.5670929978599695,3.997,5.329
2021-07-31,1.5749910249545307,3.4186681870265847,2.284,3.032
2021-08-01,3.501795696774364,3.9690734847931215,3.985,5.268
2021-08-02,4.027203807943828,7.127143505573991,4.251,5.595
2021-08-03,3.8484303092080654,6.410560644497248,4.251,5.571
2021-08-04,2.856081882791095,5.053109341322911,4.163,5.431
2021-08-05,3.9098869785256225,6.715100367011686,4.327,5.622
2021-08-06,2.5802112191567708,3.7929560722376414,4.34,5.613
2021-08-07,3.4924104562373506,7.786330411572615,4.77,6.143
2021-08-08,3.640072748029569,8.600059721262998,4.517,5.791
2021-08-09,1.8968531238874602,,3.277,4.183
2021-08-10,3.6513362793426714,7.482024401261457,4.682,5.949
2021-08-11,2.861331628636068,7.082678967957416,4.252,5.378
2021-08-12,-0.10797220995729752,,1.835,2.311
2021-08-13,3.1780746644076343,5.126928950882562,3.455,4.331
2021-08-14,3.654377262743468,6.727383714806655,4.264,5.321
2021-08-15,4.004352693921288,7.958395804420029,4.075,5.062
2021-08-16,3.694400490689509,6.234432804021387,3.455,4.272
2021-08-17,3.2908694893792583,5.030170116465012,3.632,4.47
2021-08-18,3.539854965936427,5.304365446959338,3.898,4.775
2021-08-19,4.078269973727716,5.581662815314992,4.075,4.969
2021-08-20,4.096398871045793,7.262087583600077,4.087,4.961
2021-08-21,1.9709922463832028,3.173242458950297,3.467,4.189
2021-08-22,3.564632662238231,5.587588584092492,3.885,4.672
2021-08-23,3.3441146431176927,5.722444425120453,4.328,5.18
2021-08-24,4.013744001819629,5.721262932097751,4.695,5.592
2021-08-25,4.010569824278464,,4.341,5.145
2021-08-26,1.4299150658023274,2.5845870004227653,2.442,2.912
2021-08-27,3.458898391026095,5.094079433302907,4.161,4.996
2021-08-28,3.6166727667769427,4.887580997137554,4.201,5.077
2021-08-29,3.5116958197318637,5.217253317985976,4.239,5.157
2021-08-30,2.9127226519397658,5.688230682816311,3.185,3.902
2021-08-31,3.223307462476364,4.0217451525494825,3.658,4.511
2021-09-01,3.7648057545813316,5.563679304120792,3.494,4.339
